
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
   -15.00   -20.00    12.82    12.97    -1.97    20.62    -4.87    11.09     1.72    -0.15     1.88    -8.83    98.18    13.85    14.97
   -15.00   -30.00    19.36    19.74    -2.42    20.66    -8.60    15.74     3.62    -0.38     4.00   -10.43   105.05     9.22    10.44
   -15.00   -40.00    26.14    26.81    -2.79    20.71   -13.84    20.07     6.07    -0.67     6.74   -11.11   112.38     6.91     8.23
   -15.00   -50.00    33.33    34.34    -3.07    20.77   -20.64    24.29     9.04    -1.00    10.04   -11.12   120.35     5.54     6.93
   -15.00   -60.00    41.21    42.49    -3.25    20.84   -29.12    28.64    12.57    -1.28    13.85   -10.16   129.29     4.63     6.09
   -15.00   -70.00    50.36    51.57    -3.27    20.92   -39.60    33.50    16.87    -1.21    18.08    -7.20   139.89     4.00     5.51
   -20.00     0.00     0.03    -0.03    -0.80    20.54    -2.71    -0.03    -0.00    -0.05     0.05     0.00    85.36 ******** ********
   -20.00    10.00    -6.41    -6.42    -0.14    20.51    -3.46    -5.95    -0.47    -0.01    -0.46     1.16    79.18    27.79    28.79
   -20.00    20.00   -12.98   -12.85     0.60    20.47    -5.68   -11.12    -1.73     0.13    -1.86    -7.68    73.09    13.84    14.96
   -20.00    30.00   -19.76   -19.40     1.42    20.45    -9.40   -15.77    -3.63     0.36    -3.99    -9.80    67.00     9.21    10.44
   -20.00    40.00   -26.84   -26.20     2.33    20.42   -14.63   -20.11    -6.09     0.65    -6.74   -10.64    60.86     6.91     8.22
   -20.00    50.00   -34.37   -33.40     3.34    20.40   -21.42   -24.34    -9.07     0.97   -10.04   -10.70    54.57     5.53     6.93
   -20.00    60.00   -42.54   -41.31     4.45    20.39   -29.89   -28.70   -12.61     1.23   -13.84    -9.73    48.01     4.63     6.09
   -20.00    70.00   -51.63   -50.50     5.70    20.39   -40.37   -33.58   -16.93     1.13   -18.06    -6.67    41.00     3.99     5.51
   -20.00     0.00     0.03    -0.03    -0.80    20.54    -2.71    -0.03    -0.00    -0.05     0.05     0.00    85.36 ******** ********
   -20.00   -10.00     6.42     6.41    -1.40    20.58    -3.46     5.95     0.47     0.01     0.46     1.16    91.69    27.79    28.79
   -20.00   -20.00    12.85    12.98    -1.91    20.62    -5.68    11.12     1.73    -0.13     1.86    -7.68    98.24    13.84    14.96
   -20.00   -30.00    19.40    19.76    -2.36    20.66    -9.40    15.77     3.63    -0.36     3.99    -9.80   105.11     9.21    10.44
   -20.00   -40.00    26.20    26.84    -2.73    20.71   -14.63    20.11     6.09    -0.65     6.74   -10.64   112.43     6.91     8.22
   -20.00   -50.00    33.40    34.37    -3.00    20.77   -21.42    24.34     9.07    -0.97    10.04   -10.70   120.39     5.53     6.93
   -20.00   -60.00    41.31    42.54    -3.17    20.84   -29.89    28.70    12.61    -1.23    13.84    -9.73   129.33     4.63     6.09
   -20.00   -70.00    50.50    51.63    -3.18    20.91   -40.37    33.58    16.93    -1.13    18.06    -6.67   139.93     3.99     5.51
   -25.00     0.00     0.04    -0.04    -0.78    20.54    -3.62    -0.04    -0.00    -0.07     0.07     0.00    85.43 ******** ********
   -25.00    10.00    -6.41    -6.44    -0.12    20.51    -4.36    -5.97    -0.47    -0.03    -0.44     5.70    79.26    27.80    28.80
   -25.00    20.00   -12.99   -12.88     0.61    20.48    -6.58   -11.14    -1.74     0.11    -1.85    -6.34    73.17    13.83    14.95
   -25.00    30.00   -19.77   -19.44     1.43    20.45   -10.30   -15.80    -3.65     0.33    -3.98    -9.07    67.10     9.20    10.43
   -25.00    40.00   -26.87   -26.25     2.32    20.42   -15.52   -20.15    -6.11     0.62    -6.72   -10.11    60.97     6.90     8.22
   -25.00    50.00   -34.41   -33.48     3.32    20.40   -22.31   -24.39    -9.09     0.93   -10.03   -10.24    54.69     5.53     6.93
   -25.00    60.00   -42.58   -41.41     4.42    20.39   -30.77   -28.76   -12.66     1.17   -13.83    -9.25    48.15     4.62     6.09
   -25.00    70.00   -51.69   -50.65     5.66    20.39   -41.26   -33.66   -16.99     1.04   -18.02    -6.09    41.17     3.99     5.51
   -25.00     0.00     0.04    -0.04    -0.78    20.54    -3.62    -0.04    -0.00    -0.07     0.07     0.00    85.43 ******** ********
   -25.00   -10.00     6.44     6.41    -1.36    20.58    -4.36     5.97     0.47     0.03     0.44     5.70    91.75    27.80    28.80
   -25.00   -20.00    12.88    12.99    -1.87    20.62    -6.58    11.14     1.74    -0.11     1.85    -6.34    98.29    13.83    14.95
   -25.00   -30.00    19.44    19.77    -2.31    20.66   -10.30    15.80     3.65    -0.33     3.98    -9.07   105.15     9.20    10.43
   -25.00   -40.00    26.25    26.87    -2.67    20.71   -15.52    20.15     6.11    -0.62     6.72   -10.11   112.47     6.90     8.22
   -25.00   -50.00    33.48    34.41    -2.94    20.77   -22.31    24.39     9.09    -0.93    10.03   -10.24   120.42     5.53     6.93
   -25.00   -60.00    41.41    42.58    -3.10    20.84   -30.77    28.76    12.66    -1.17    13.83    -9.25   129.36     4.62     6.09
   -25.00   -70.00    50.65    51.69    -3.10    20.91   -41.26    33.66    16.99    -1.04    18.02    -6.09   139.95     3.99     5.51
   -30.00     0.00     0.05    -0.05    -0.76    20.54    -4.62    -0.05    -0.00    -0.10     0.10     0.00    85.50 ******** ********
   -30.00    10.00    -6.41    -6.46    -0.11    20.51    -5.36    -5.99    -0.47    -0.05    -0.42    10.86    79.34    27.81    28.81
   -30.00    20.00   -12.99   -12.91     0.61    20.48    -7.58   -11.17    -1.74     0.08    -1.83    -4.82    73.26    13.83    14.95
   -30.00    30.00   -19.79   -19.49     1.42    20.45   -11.30   -15.83    -3.66     0.30    -3.96    -8.24    67.20     9.20    10.42
   -30.00    40.00   -26.90   -26.31     2.31    20.43   -16.52   -20.19    -6.13     0.58    -6.71    -9.52    61.08     6.89     8.21
   -30.00    50.00   -34.45   -33.56     3.29    20.41   -23.31   -24.44    -9.12     0.89   -10.01    -9.73    54.83     5.52     6.92
   -30.00    60.00   -42.63   -41.52     4.39    20.39   -31.78   -28.82   -12.70     1.11   -13.81    -8.74    48.31     4.62     6.08
   -30.00    70.00   -51.74   -50.81     5.61    20.40   -42.29   -33.75   -17.05     0.93   -17.99    -5.48    41.35     3.99     5.50
   -30.00     0.00     0.05    -0.05    -0.76    20.54    -4.62    -0.05    -0.00    -0.10     0.10     0.00    85.50 ******** ********
   -30.00   -10.00     6.46     6.41    -1.34    20.58    -5.36     5.99     0.47     0.05     0.42    10.86    91.81    27.81    28.81
   -30.00   -20.00    12.91    12.99    -1.84    20.62    -7.58    11.17     1.74    -0.08     1.83    -4.82    98.34    13.83    14.95
   -30.00   -30.00    19.49    19.79    -2.27    20.66   -11.30    15.83     3.66    -0.30     3.96    -8.24   105.20     9.20    10.42
   -30.00   -40.00    26.31    26.90    -2.62    20.71   -16.52    20.19     6.13    -0.58     6.71    -9.52   112.50     6.89     8.21
   -30.00   -50.00    33.56    34.45    -2.88    20.77   -23.31    24.44     9.12    -0.89    10.01    -9.73   120.45     5.52     6.92
   -30.00   -60.00    41.52    42.63    -3.03    20.83   -31.78    28.82    12.70    -1.11    13.81    -8.74   129.38     4.62     6.08
   -30.00   -70.00    50.81    51.74    -3.03    20.91   -42.29    33.75    17.05    -0.93    17.99    -5.48   139.96     3.99     5.50
   -35.00     0.00     0.06    -0.06    -0.75    20.54    -5.72    -0.06    -0.00    -0.12     0.12     0.00    85.57 ******** ********
   -35.00    10.00    -6.41    -6.49    -0.11    20.51    -6.46    -6.01    -0.48    -0.08    -0.40    16.60    79.43    27.82    28.83
   -35.00    20.00   -13.00   -12.95     0.61    20.48    -8.68   -11.19    -1.75     0.05    -1.81    -3.12    73.36    13.82    14.94
   -35.00    30.00   -19.81   -19.54     1.40    20.45   -12.40   -15.87    -3.67     0.27    -3.94    -7.33    67.31     9.19    10.42
   -35.00    40.00   -26.92   -26.38     2.28    20.43   -17.63   -20.23    -6.15     0.55    -6.69    -8.87    61.21     6.89     8.21
   -35.00    50.00   -34.48   -33.64     3.26    20.41   -24.42   -24.49    -9.15     0.84    -9.99    -9.17    54.97     5.52     6.92
   -35.00    60.00   -42.67   -41.63     4.35    20.40   -32.91   -28.89   -12.74     1.04   -13.78    -8.17    48.48     4.61     6.08
   -35.00    70.00   -51.79   -50.97     5.56    20.40   -43.46   -33.85   -17.12     0.82   -17.94    -4.81    41.56     3.99     5.50
   -35.00     0.00     0.06    -0.06    -0.75    20.54    -5.72    -0.06    -0.00    -0.12     0.12     0.00    85.57 ******** ********
   -35.00   -10.00     6.49     6.41    -1.32    20.58    -6.46     6.01     0.48     0.08     0.40    16.60    91.87    27.82    28.83
   -35.00   -20.00    12.95    13.00    -1.82    20.62    -8.68    11.19     1.75    -0.05     1.81    -3.12    98.40    13.82    14.94
   -35.00   -30.00    19.54    19.81    -2.24    20.66   -12.40    15.87     3.67    -0.27     3.94    -7.33   105.24     9.19    10.42
   -35.00   -40.00    26.38    26.92    -2.58    20.71   -17.63    20.23     6.15    -0.55     6.69    -8.87   112.53     6.89     8.21
   -35.00   -50.00    33.64    34.48    -2.83    20.77   -24.42    24.49     9.15    -0.84     9.99    -9.17   120.47     5.52     6.92
   -35.00   -60.00    41.63    42.67    -2.97    20.83   -32.91    28.89    12.74    -1.04    13.78    -8.17   129.38     4.61     6.08
   -35.00   -70.00    50.97    51.79    -2.96    20.91   -43.46    33.85    17.12    -0.82    17.94    -4.81   139.95     3.99     5.50
   -40.00     0.00     0.08    -0.08    -0.75    20.55    -6.90    -0.08    -0.00    -0.15     0.15 ********    85.65 ******** ********
   -40.00    10.00    -6.40    -6.51    -0.12    20.51    -7.65    -6.03    -0.48    -0.11    -0.37    22.88    79.51    27.84    28.85
   -40.00    20.00   -13.01   -12.98     0.59    20.48    -9.87   -11.22    -1.76     0.02    -1.78    -1.26    73.46    13.82    14.94
   -40.00    30.00   -19.82   -19.59     1.38    20.46   -13.60   -15.90    -3.68     0.23    -3.92    -6.33    67.43     9.18    10.41
   -40.00    40.00   -26.95   -26.44     2.25    20.43   -18.84   -20.28    -6.17     0.50    -6.67    -8.15    61.35     6.88     8.20
   -40.00    50.00   -34.51   -33.73     3.22    20.41   -25.66   -24.55    -9.18     0.79    -9.97    -8.56    55.13     5.51     6.91
   -40.00    60.00   -42.71   -41.75     4.30    20.40   -34.17   -28.96   -12.78     0.97   -13.75    -7.57    48.67     4.61     6.08
   -40.00    70.00   -51.84   -51.14     5.50    20.40   -44.76   -33.95   -17.18     0.70   -17.89    -4.10    41.78     3.98     5.50
   -40.00     0.00     0.08    -0.08    -0.75    20.55    -6.90    -0.08    -0.00    -0.15     0.15 ********    85.65 ******** ********
   -40.00   -10.00     6.51     6.40    -1.31    20.58    -7.65     6.03     0.48     0.11     0.37    22.88    91.93    27.84    28.85
   -40.00   -20.00    12.98    13.01    -1.80    20.62    -9.87    11.22     1.76    -0.02     1.78    -1.26    98.44    13.82    14.94
   -40.00   -30.00    19.59    19.82    -2.21    20.66   -13.60    15.90     3.68    -0.23     3.92    -6.33   105.28     9.18    10.41
   -40.00   -40.00    26.44    26.95    -2.55    20.71   -18.84    20.28     6.17    -0.50     6.67    -8.15   112.56     6.88     8.20
   -40.00   -50.00    33.73    34.51    -2.79    20.77   -25.66    24.55     9.18    -0.79     9.97    -8.56   120.48     5.51     6.91
   -40.00   -60.00    41.75    42.71    -2.92    20.83   -34.17    28.96    12.78    -0.97    13.75    -7.57   129.38     4.61     6.08
   -40.00   -70.00    51.14    51.84    -2.89    20.90   -44.76    33.95    17.18    -0.70    17.89    -4.10   139.92     3.98     5.50
