
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
   -10.00   -30.00   -19.47    33.28    53.22   -35.48  -109.08    -0.77    -0.38     1.00   -10.05   -30.13     0.00    -0.00
   -10.00   -35.00   -23.16    33.55    55.99   -35.48  -128.15    -0.77    -0.30     1.25   -10.05   -35.15     0.00    -0.00
   -10.00   -40.00   -26.49    33.80    58.73   -35.48  -147.54    -0.77    -0.23     1.51   -10.05   -40.16     0.00    -0.00
   -15.00     0.00    19.50    31.13    38.60   -53.52    -0.00    -0.66    -1.00    -0.75   -15.07    -0.00    -0.00     0.00
   -15.00     5.00    27.88    30.43    35.41   -53.52    17.47    -0.66    -1.12    -1.00   -15.07     5.02    -0.00    -0.00
   -15.00    10.00    37.58    29.62    32.11   -53.52    34.78    -0.66    -1.25    -1.25   -15.07    10.05     0.00     0.00
   -15.00    15.00    48.96    28.67    28.67   -53.52    51.95    -0.66    -1.39    -1.50   -15.07    15.07     0.00     0.00
   -15.00    20.00    62.52    27.53    25.04   -53.52    68.99    -0.66    -1.53    -1.74   -15.07    20.10     0.00     0.00
   -15.00    25.00    79.02    26.15    21.17   -53.52    85.91    -0.66    -1.68    -1.99   -15.07    25.13    -0.00     0.00
   -15.00    30.00    99.58    24.43    16.96   -53.52   102.72    -0.66    -1.84    -2.24   -15.07    30.15    -0.00     0.00
   -15.00    35.00   126.00    22.23    12.26   -53.52   119.43    -0.66    -2.00    -2.49   -15.07    35.18     0.00     0.00
   -15.00    40.00   161.34    19.27     6.82   -53.52   136.06    -0.66    -2.17    -2.74   -15.07    40.21     0.00     0.00
   -15.00     0.00    19.50    31.13    38.60   -53.52    -0.00    -0.66    -1.00    -0.75   -15.07    -0.00    -0.00     0.00
   -15.00    -5.00    12.19    31.74    41.71   -53.52   -17.65    -0.66    -0.88    -0.50   -15.07    -5.02    -0.00    -0.00
   -15.00   -10.00     5.73    32.28    44.74   -53.52   -35.48    -0.66    -0.77    -0.25   -15.07   -10.05    -0.00    -0.00
   -15.00   -15.00     0.00    32.76    47.71   -53.52   -53.52    -0.66    -0.66    -0.00   -15.07   -15.07     0.00    -0.00
   -15.00   -20.00    -5.13    33.19    50.63   -53.52   -71.79    -0.66    -0.56     0.25   -15.07   -20.09     0.00    -0.00
   -15.00   -25.00    -9.75    33.57    53.51   -53.52   -90.30    -0.66    -0.47     0.50   -15.07   -25.11    -0.00    -0.00
   -15.00   -30.00   -13.92    33.92    56.36   -53.52  -109.08    -0.66    -0.38     0.75   -15.07   -30.13     0.00    -0.00
   -15.00   -35.00   -17.71    34.24    59.17   -53.52  -128.15    -0.66    -0.30     1.00   -15.07   -35.15     0.00    -0.00
   -15.00   -40.00   -21.16    34.53    61.95   -53.52  -147.54    -0.66    -0.23     1.26   -15.07   -40.16     0.00    -0.00
   -20.00     0.00    24.33    31.38    41.35   -71.79    -0.00    -0.56    -1.00    -1.00   -20.09    -0.00    -0.00     0.00
   -20.00     5.00    32.43    30.62    38.10   -71.79    17.47    -0.56    -1.12    -1.25   -20.09     5.02     0.00    -0.00
   -20.00    10.00    41.69    29.75    34.74   -71.79    34.78    -0.56    -1.25    -1.50   -20.09    10.05     0.00     0.00
   -20.00    15.00    52.40    28.74    31.24   -71.79    51.95    -0.56    -1.39    -1.75   -20.09    15.07     0.00     0.00
   -20.00    20.00    64.95    27.56    27.56   -71.79    68.99    -0.56    -1.53    -1.99   -20.09    20.10     0.00     0.00
   -20.00    25.00    79.91    26.15    23.67   -71.79    85.91    -0.56    -1.68    -2.24   -20.09    25.13    -0.00     0.00
   -20.00    30.00    98.07    24.45    19.47   -71.79   102.72    -0.56    -1.84    -2.49   -20.09    30.15     0.00     0.00
   -20.00    35.00   120.65    22.32    14.85   -71.79   119.43    -0.56    -2.00    -2.74   -20.09    35.18     0.00     0.00
   -20.00    40.00   149.60    19.60     9.64   -71.79   136.06    -0.56    -2.17    -2.99   -20.09    40.21     0.00     0.00
   -20.00     0.00    24.33    31.38    41.35   -71.79    -0.00    -0.56    -1.00    -1.00   -20.09    -0.00     0.00    -0.00
   -20.00    -5.00    17.18    32.05    44.52   -71.79   -17.65    -0.56    -0.88    -0.75   -20.09    -5.02    -0.00    -0.00
   -20.00   -10.00    10.83    32.65    47.61   -71.79   -35.48    -0.56    -0.77    -0.50   -20.09   -10.05     0.00    -0.00
   -20.00   -15.00     5.13    33.19    50.63   -71.79   -53.52    -0.56    -0.66    -0.25   -20.09   -15.07     0.00    -0.00
   -20.00   -20.00     0.00    33.67    53.61   -71.79   -71.79    -0.56    -0.56    -0.00   -20.09   -20.09     0.00    -0.00
   -20.00   -25.00    -4.65    34.11    56.54   -71.79   -90.30    -0.56    -0.47     0.25   -20.09   -25.11    -0.00    -0.00
   -20.00   -30.00    -8.87    34.50    59.43   -71.79  -109.08    -0.56    -0.38     0.50   -20.09   -30.13    -0.00    -0.00
   -20.00   -35.00   -12.72    34.87    62.29   -71.79  -128.15    -0.56    -0.30     0.75   -20.09   -35.15     0.00    -0.00
   -20.00   -40.00   -16.24    35.20    65.11   -71.79  -147.54    -0.56    -0.23     1.01   -20.09   -40.16    -0.00    -0.00
   -25.00     0.00    28.57    31.60    44.07   -90.30    -0.00    -0.47    -1.00    -1.25   -25.11    -0.00    -0.00    -0.00
   -25.00     5.00    36.39    30.79    40.76   -90.30    17.47    -0.47    -1.12    -1.50   -25.11     5.02     0.00    -0.00
   -25.00    10.00    45.23    29.86    37.34   -90.30    34.78    -0.47    -1.25    -1.75   -25.11    10.05    -0.00     0.00
   -25.00    15.00    55.33    28.81    33.79   -90.30    51.95    -0.47    -1.39    -2.00   -25.11    15.07     0.00     0.00
   -25.00    20.00    67.01    27.59    30.08   -90.30    68.99    -0.47    -1.53    -2.25   -25.11    20.10    -0.00     0.00
   -25.00    25.00    80.68    26.16    26.16   -90.30    85.91    -0.47    -1.68    -2.49   -25.11    25.13    -0.00     0.00
   -25.00    30.00    96.94    24.46    21.97   -90.30   102.72    -0.47    -1.84    -2.74   -25.11    30.15     0.00     0.00
   -25.00    35.00   116.65    22.40    17.42   -90.30   119.43    -0.47    -2.00    -2.99   -25.11    35.18     0.00     0.00
   -25.00    40.00   141.10    19.84    12.37   -90.30   136.06    -0.47    -2.17    -3.24   -25.11    40.21    -0.00     0.00
   -25.00     0.00    28.57    31.60    44.07   -90.30    -0.00    -0.47    -1.00    -1.25   -25.11    -0.00     0.00     0.00
   -25.00    -5.00    21.62    32.33    47.29   -90.30   -17.65    -0.47    -0.88    -1.00   -25.11    -5.02    -0.00    -0.00
   -25.00   -10.00    15.38    32.98    50.43   -90.30   -35.48    -0.47    -0.77    -0.75   -25.11   -10.05    -0.00    -0.00
   -25.00   -15.00     9.75    33.57    53.51   -90.30   -53.52    -0.47    -0.66    -0.50   -25.11   -15.07     0.00    -0.00
   -25.00   -20.00     4.65    34.11    56.54   -90.30   -71.79    -0.47    -0.56    -0.25   -25.11   -20.09    -0.00    -0.00
   -25.00   -25.00     0.00    34.59    59.52   -90.30   -90.30    -0.47    -0.47    -0.00   -25.11   -25.11     0.00    -0.00
   -25.00   -30.00    -4.25    35.04    62.46   -90.30  -109.08    -0.47    -0.38     0.25   -25.11   -30.13     0.00    -0.00
   -25.00   -35.00    -8.14    35.44    65.36   -90.30  -128.15    -0.47    -0.30     0.50   -25.11   -35.15     0.00    -0.00
   -25.00   -40.00   -11.71    35.82    68.22   -90.30  -147.54    -0.47    -0.23     0.76   -25.11   -40.16     0.00    -0.00
   -30.00     0.00    32.33    31.80    46.76  -109.08    -0.00    -0.38    -1.00    -1.50   -30.13    -0.00    -0.00     0.00
   -30.00     5.00    39.86    30.93    43.40  -109.08    17.47    -0.38    -1.12    -1.75   -30.13     5.02    -0.00    -0.00
   -30.00    10.00    48.31    29.96    39.94  -109.08    34.78    -0.38    -1.25    -2.00   -30.13    10.05     0.00     0.00
   -30.00    15.00    57.87    28.86    36.34  -109.08    51.95    -0.38    -1.39    -2.25   -30.13    15.07     0.00     0.00
   -30.00    20.00    68.77    27.61    32.60  -109.08    68.99    -0.38    -1.53    -2.50   -30.13    20.10     0.00     0.00
   -30.00    25.00    81.35    26.16    28.66  -109.08    85.91    -0.38    -1.68    -2.75   -30.13    25.13    -0.00     0.00
   -30.00    30.00    96.07    24.46    24.47  -109.08   102.72    -0.38    -1.84    -2.99   -30.13    30.15     0.00     0.00
   -30.00    35.00   113.54    22.45    19.97  -109.08   119.43    -0.38    -2.00    -3.24   -30.13    35.18     0.00     0.00
   -30.00    40.00   134.68    20.02    15.04  -109.08   136.06    -0.38    -2.17    -3.49   -30.13    40.21     0.00     0.00
   -30.00     0.00    32.33    31.80    46.76  -109.08    -0.00    -0.38    -1.00    -1.50   -30.13    -0.00     0.00     0.00
   -30.00    -5.00    25.57    32.58    50.03  -109.08   -17.65    -0.38    -0.88    -1.25   -30.13    -5.02    -0.00    -0.00
   -30.00   -10.00    19.47    33.28    53.22  -109.08   -35.48    -0.38    -0.77    -1.00   -30.13   -10.05     0.00    -0.00
   -30.00   -15.00    13.92    33.92    56.36  -109.08   -53.52    -0.38    -0.66    -0.75   -30.13   -15.07     0.00    -0.00
   -30.00   -20.00     8.87    34.50    59.43  -109.08   -71.79    -0.38    -0.56    -0.50   -30.13   -20.09     0.00    -0.00
   -30.00   -25.00     4.25    35.04    62.46  -109.08   -90.30    -0.38    -0.47    -0.25   -30.13   -25.11     0.00    -0.00
   -30.00   -30.00     0.00    35.52    65.44  -109.08  -109.08    -0.38    -0.38    -0.00   -30.13   -30.13     0.00    -0.00
   -30.00   -35.00    -3.91    35.97    68.38  -109.08  -128.15    -0.38    -0.30     0.25   -30.13   -35.15     0.00    -0.00
   -30.00   -40.00    -7.51    36.39    71.29  -109.08  -147.54    -0.38    -0.23     0.50   -30.13   -40.16    -0.00    -0.00
   -35.00     0.00    35.68    31.98    49.43  -128.15    -0.00    -0.30    -1.00    -1.75   -35.15    -0.00    -0.00    -0.00
   -35.00     5.00    42.94    31.06    46.02  -128.15    17.47    -0.30    -1.12    -2.00   -35.15     5.02    -0.00    -0.00
   -35.00    10.00    51.02    30.05    42.52  -128.15    34.78    -0.30    -1.25    -2.25   -35.15    10.05     0.00     0.00
   -35.00    15.00    60.07    28.91    38.89  -128.15    51.95    -0.30    -1.39    -2.50   -35.15    15.07     0.00     0.00
   -35.00    20.00    70.29    27.62    35.11  -128.15    68.99    -0.30    -1.53    -2.75   -35.15    20.10     0.00     0.00
   -35.00    25.00    81.94    26.16    31.15  -128.15    85.91    -0.30    -1.68    -3.00   -35.15    25.13     0.00     0.00
   -35.00    30.00    95.38    24.47    26.97  -128.15   102.72    -0.30    -1.84    -3.25   -35.15    30.15     0.00     0.00
   -35.00    35.00   111.06    22.50    22.51  -128.15   119.43    -0.30    -2.00    -3.49   -35.15    35.18     0.00     0.00
   -35.00    40.00   129.64    20.16    17.68  -128.15   136.06    -0.30    -2.17    -3.74   -35.15    40.21    -0.00     0.00
   -35.00     0.00    35.68    31.98    49.43  -128.15    -0.00    -0.30    -1.00    -1.75   -35.15    -0.00     0.00     0.00
   -35.00    -5.00    29.12    32.80    52.75  -128.15   -17.65    -0.30    -0.88    -1.50   -35.15    -5.02    -0.00    -0.00
   -35.00   -10.00    23.16    33.55    55.99  -128.15   -35.48    -0.30    -0.77    -1.25   -35.15   -10.05     0.00    -0.00
   -35.00   -15.00    17.71    34.24    59.17  -128.15   -53.52    -0.30    -0.66    -1.00   -35.15   -15.07     0.00    -0.00
   -35.00   -20.00    12.72    34.87    62.29  -128.15   -71.79    -0.30    -0.56    -0.75   -35.15   -20.09     0.00    -0.00
   -35.00   -25.00     8.14    35.44    65.36  -128.15   -90.30    -0.30    -0.47    -0.50   -35.15   -25.11     0.00    -0.00
   -35.00   -30.00     3.91    35.97    68.38  -128.15  -109.08    -0.30    -0.38    -0.25   -35.15   -30.13     0.00    -0.00
   -35.00   -35.00     0.00    36.47    71.37  -128.15  -128.15    -0.30    -0.30    -0.00   -35.15   -35.15    -0.00    -0.00
   -35.00   -40.00    -3.61    36.92    74.32  -128.15  -147.54    -0.30    -0.23     0.25   -35.15   -40.16     0.00    -0.00
   -40.00     0.00    38.67    32.14    52.08  -147.54    -0.00    -0.23    -1.00    -2.01   -40.16    -0.00    -0.00     0.00
   -40.00     5.00    45.67    31.18    48.63  -147.54    17.47    -0.23    -1.12    -2.26   -40.16     5.02     0.00    -0.00
   -40.00    10.00    53.40    30.13    45.09  -147.54    34.78    -0.23    -1.25    -2.50   -40.16    10.05    -0.00     0.00
   -40.00    15.00    61.99    28.95    41.42  -147.54    51.95    -0.23    -1.39    -2.75   -40.16    15.07     0.00     0.00
   -40.00    20.00    71.60    27.64    37.62  -147.54    68.99    -0.23    -1.53    -3.00   -40.16    20.10    -0.00     0.00
   -40.00    25.00    82.45    26.16    33.65  -147.54    85.91    -0.23    -1.68    -3.25   -40.16    25.13    -0.00     0.00
   -40.00    30.00    94.80    24.47    29.47  -147.54   102.72    -0.23    -1.84    -3.50   -40.16    30.15     0.00     0.00
   -40.00    35.00   109.02    22.53    25.04  -147.54   119.43    -0.23    -2.00    -3.75   -40.16    35.18    -0.00     0.00
   -40.00    40.00   125.59    20.27    20.29  -147.54   136.06    -0.23    -2.17    -4.00   -40.16    40.21     0.00     0.00
   -40.00     0.00    38.67    32.14    52.08  -147.54    -0.00    -0.23    -1.00    -2.01   -40.16    -0.00    -0.00     0.00
   -40.00    -5.00    32.31    33.00    55.44  -147.54   -17.65    -0.23    -0.88    -1.76   -40.16    -5.02     0.00    -0.00
   -40.00   -10.00    26.49    33.80    58.73  -147.54   -35.48    -0.23    -0.77    -1.51   -40.16   -10.05     0.00    -0.00
   -40.00   -15.00    21.16    34.53    61.95  -147.54   -53.52    -0.23    -0.66    -1.26   -40.16   -15.07    -0.00    -0.00
   -40.00   -20.00    16.24    35.20    65.11  -147.54   -71.79    -0.23    -0.56    -1.01   -40.16   -20.09     0.00    -0.00
   -40.00   -25.00    11.71    35.82    68.22  -147.54   -90.30    -0.23    -0.47    -0.76   -40.16   -25.11     0.00    -0.00
   -40.00   -30.00     7.51    36.39    71.29  -147.54  -109.08    -0.23    -0.38    -0.50   -40.16   -30.13    -0.00    -0.00
   -40.00   -35.00     3.61    36.92    74.32  -147.54  -128.15    -0.23    -0.30    -0.25   -40.16   -35.15     0.00    -0.00
   -40.00   -40.00     0.00    37.41    77.30  -147.54  -147.54    -0.23    -0.23    -0.00   -40.16   -40.16     0.00    -0.00
